Coldwater Valve,Steam Valve,Level,Water flowrater,Temprature,
7.4258,5.8523,12.031,10.526,7.2379,0
7.4036,5.8617,12.027,10.526,7.2265,0
7.5067,6.2341,12.023,10.523,7.2118,0
7.5311,6.218,12.02,10.521,7.2063,0
7.4112,5.7723,12.017,10.525,7.2103,0
7.4126,5.8567,12.013,10.528,7.2066,0
7.5371,6.265,12.008,10.526,7.1963,0
7.5085,6.0579,12.005,10.523,7.1971,0
7.449,5.8484,12.002,10.522,7.2036,0
7.6954,6.6275,11.998,10.522,7.2026,0
7.7674,6.5822,11.996,10.521,7.2152,0
7.7667,6.3688,11.996,10.522,7.2456,0
7.5712,5.6648,11.995,10.524,7.2735,0
7.5918,5.8867,11.992,10.523,7.2813,0
7.6884,6.2265,11.99,10.521,7.2763,0
7.6364,5.9818,11.989,10.523,7.2804,0
7.5484,5.7303,11.987,10.525,7.2862,0
7.7745,6.5124,11.985,10.524,7.2812,0
7.4998,5.4704,11.986,10.527,7.2874,0
7.4838,5.6144,11.982,10.533,7.2875,0
7.6848,6.3123,11.979,10.535,7.269,0
7.6749,6.115,11.979,10.533,7.2677,0
7.7291,6.2168,11.978,10.529,7.2789,0
7.7462,6.1604,11.978,10.53,7.2905,0
7.6019,5.6512,11.977,10.53,7.3042,0
7.7981,6.3675,11.975,10.527,7.3057,0
7.7693,6.1079,11.976,10.528,7.3113,0
7.9286,6.5447,11.976,10.527,7.3261,0
7.7801,5.9107,11.979,10.521,7.3467,0
7.906,6.3541,11.979,10.522,7.3624,0
7.8515,6.0672,11.981,10.524,7.3737,0
7.7399,5.7413,11.983,10.524,7.3866,0
7.8864,6.3061,11.983,10.525,7.3854,0
7.9418,6.3775,11.986,10.523,7.3875,0
7.9081,6.1745,11.989,10.522,7.4022,0
7.9645,6.3273,11.992,10.524,7.4148,0
8.0437,6.4898,11.996,10.526,7.4262,0
7.7865,5.6007,12,10.526,7.444,0
7.7766,5.8098,12.002,10.525,7.4449,0
7.7878,5.9631,12.004,10.525,7.4286,0
7.9096,6.3957,12.006,10.522,7.4162,0
7.8412,6.0917,12.01,10.521,7.4158,0
7.7484,5.8406,12.013,10.523,7.4185,0
7.7672,6.0152,12.014,10.524,7.4098,0
7.8425,6.2791,12.016,10.523,7.3985,0
7.8144,6.1296,12.019,10.525,7.3962,0
7.8491,6.2507,12.021,10.522,7.3973,0
